Config Num, Utility
1621,-7,
1622,-2,
1623,-3,
1624,-4,
1625,-8,
1626,-9,
1627,-4,
1628,-4,
1629,-10,
1630,-5,
1631,-7,
1632,-2,
1633,-10,
1634,-10,
1635,-9,
1636,-9,
1637,-1,
1638,-5,
1639,-10,
1640,-6,
1641,-1,
1642,-10,
1643,-7,
1644,-9,
1645,-7,
1646,-8,
1647,-9,
1648,-6,
1649,-3,
1650,-4,
1651,-4,
1652,-5,
1653,-5,
1654,-9,
1655,-5,
1656,-2,
1657,-6,
1658,-3,
1659,-4,
1660,-2,
1661,-2,
1662,-9,
1663,-10,
1664,-8,
1665,-3,
1666,-2,
1667,-8,
1668,-8,
1669,-6,
1670,-4,
1671,-4,
1672,-10,
1673,-10,
1674,-8,
1675,-1,
1676,-6,
1677,-5,
1678,-6,
1679,-2,
1680,-4,
1681,-4,
1682,-5,
1683,-10,
1684,-2,
1685,-2,
1686,-7,
1687,-3,
1688,-6,
1689,-7,
1690,-5,
1691,-3,
1692,-1,
1693,-1,
1694,-3,
1695,-4,
1696,-6,
1697,-8,
1698,-7,
1699,-9,
1700,-2,
1701,-6,
1702,-9,
1703,-8,
1704,-3,
1705,-10,
1706,-1,
1707,-10,
1708,-10,
1709,-5,
1710,-7,
