Configuration, ObservableConfiguration, Cost
1301,261,27
1301,262,10000
1301,263,10000
1301,264,10000
1301,265,74
1301,266,83
1301,267,10000
1301,268,10000
1301,269,10000
1301,270,10000
1302,261,10000
1302,262,10000
1302,263,10000
1302,264,68
1302,265,91
1302,266,10000
1302,267,86
1302,268,10000
1302,269,41
1302,270,10000
1303,261,10000
1303,262,10000
1303,263,100
1303,264,10000
1303,265,10000
1303,266,10000
1303,267,84
1303,268,10000
1303,269,10000
1303,270,10000
1304,261,10000
1304,262,59
1304,263,10000
1304,264,57
1304,265,68
1304,266,7
1304,267,96
1304,268,91
1304,269,10000
1304,270,6
1305,261,10000
1305,262,10000
1305,263,10000
1305,264,46
1305,265,16
1305,266,90
1305,267,39
1305,268,10000
1305,269,10000
1305,270,98
1306,261,56
1306,262,9
1306,263,10000
1306,264,64
1306,265,10000
1306,266,10000
1306,267,59
1306,268,10000
1306,269,10000
1306,270,10000
1307,261,10000
1307,262,10000
1307,263,12
1307,264,70
1307,265,3
1307,266,82
1307,267,78
1307,268,74
1307,269,10000
1307,270,10
1308,261,66
1308,262,47
1308,263,50
1308,264,27
1308,265,10000
1308,266,86
1308,267,31
1308,268,85
1308,269,10000
1308,270,55
1309,261,34
1309,262,26
1309,263,10000
1309,264,34
1309,265,10000
1309,266,8
1309,267,10000
1309,268,61
1309,269,10000
1309,270,28
1310,261,10000
1310,262,60
1310,263,10000
1310,264,58
1310,265,40
1310,266,69
1310,267,10000
1310,268,10000
1310,269,17
1310,270,10000
1311,261,10000
1311,262,69
1311,263,94
1311,264,20
1311,265,61
1311,266,10000
1311,267,10000
1311,268,10000
1311,269,33
1311,270,91
1312,261,15
1312,262,10000
1312,263,66
1312,264,68
1312,265,10000
1312,266,94
1312,267,74
1312,268,10000
1312,269,18
1312,270,21
1313,261,10000
1313,262,10000
1313,263,71
1313,264,46
1313,265,10000
1313,266,43
1313,267,10000
1313,268,54
1313,269,10000
1313,270,10000
1314,261,10000
1314,262,87
1314,263,10000
1314,264,5
1314,265,10000
1314,266,10000
1314,267,10000
1314,268,10000
1314,269,10000
1314,270,10000
1315,261,74
1315,262,55
1315,263,10000
1315,264,10000
1315,265,10000
1315,266,10000
1315,267,81
1315,268,10000
1315,269,66
1315,270,10000
1316,261,66
1316,262,10000
1316,263,10000
1316,264,10000
1316,265,10
1316,266,10000
1316,267,10000
1316,268,10000
1316,269,29
1316,270,10000
1317,261,10000
1317,262,62
1317,263,80
1317,264,10000
1317,265,10000
1317,266,10000
1317,267,10000
1317,268,10000
1317,269,96
1317,270,10000
1318,261,90
1318,262,10000
1318,263,90
1318,264,98
1318,265,10
1318,266,10000
1318,267,68
1318,268,49
1318,269,69
1318,270,10000
1319,261,5
1319,262,89
1319,263,83
1319,264,10000
1319,265,68
1319,266,10000
1319,267,10000
1319,268,10000
1319,269,10000
1319,270,32
1320,261,10000
1320,262,67
1320,263,10000
1320,264,10000
1320,265,10000
1320,266,92
1320,267,54
1320,268,10000
1320,269,67
1320,270,16
1321,261,70
1321,262,10000
1321,263,10000
1321,264,10000
1321,265,56
1321,266,78
1321,267,10000
1321,268,10000
1321,269,93
1321,270,10000
1322,261,10000
1322,262,10000
1322,263,10000
1322,264,10000
1322,265,10000
1322,266,14
1322,267,44
1322,268,10000
1322,269,10000
1322,270,10000
1323,261,8
1323,262,10000
1323,263,11
1323,264,61
1323,265,82
1323,266,10
1323,267,10000
1323,268,10000
1323,269,55
1323,270,64
1324,261,78
1324,262,52
1324,263,94
1324,264,10000
1324,265,10000
1324,266,10000
1324,267,79
1324,268,55
1324,269,62
1324,270,50
1325,261,10000
1325,262,6
1325,263,72
1325,264,10000
1325,265,10000
1325,266,10000
1325,267,10000
1325,268,61
1325,269,10000
1325,270,5
1326,261,10000
1326,262,10000
1326,263,10000
1326,264,10000
1326,265,11
1326,266,10000
1326,267,68
1326,268,68
1326,269,72
1326,270,10000
1327,261,10000
1327,262,10000
1327,263,10000
1327,264,10000
1327,265,22
1327,266,10000
1327,267,39
1327,268,46
1327,269,10000
1327,270,51
1328,261,16
1328,262,10000
1328,263,10000
1328,264,10000
1328,265,10000
1328,266,10000
1328,267,19
1328,268,10000
1328,269,10000
1328,270,10000
1329,261,26
1329,262,10000
1329,263,7
1329,264,36
1329,265,16
1329,266,10000
1329,267,55
1329,268,89
1329,269,3
1329,270,10000
1330,261,62
1330,262,99
1330,263,43
1330,264,92
1330,265,11
1330,266,54
1330,267,53
1330,268,10000
1330,269,10000
1330,270,10000
1331,261,10000
1331,262,10000
1331,263,10000
1331,264,51
1331,265,73
1331,266,88
1331,267,10000
1331,268,3
1331,269,95
1331,270,10000
1332,261,50
1332,262,10000
1332,263,10000
1332,264,10000
1332,265,10000
1332,266,10000
1332,267,63
1332,268,66
1332,269,71
1332,270,10000
1333,261,69
1333,262,12
1333,263,10000
1333,264,9
1333,265,10000
1333,266,10000
1333,267,10000
1333,268,10000
1333,269,10000
1333,270,10000
1334,261,62
1334,262,8
1334,263,13
1334,264,48
1334,265,51
1334,266,89
1334,267,10000
1334,268,76
1334,269,10000
1334,270,88
1335,261,80
1335,262,10000
1335,263,10000
1335,264,10000
1335,265,94
1335,266,15
1335,267,10000
1335,268,10000
1335,269,10000
1335,270,10000
1336,261,10000
1336,262,94
1336,263,79
1336,264,42
1336,265,27
1336,266,58
1336,267,10000
1336,268,100
1336,269,30
1336,270,95
1337,261,10
1337,262,10000
1337,263,18
1337,264,52
1337,265,34
1337,266,10000
1337,267,31
1337,268,10000
1337,269,10000
1337,270,10000
1338,261,72
1338,262,10000
1338,263,35
1338,264,5
1338,265,60
1338,266,10000
1338,267,32
1338,268,9
1338,269,28
1338,270,22
1339,261,15
1339,262,10000
1339,263,10000
1339,264,66
1339,265,10000
1339,266,1
1339,267,96
1339,268,16
1339,269,58
1339,270,10000
1340,261,10000
1340,262,74
1340,263,13
1340,264,10000
1340,265,23
1340,266,29
1340,267,44
1340,268,10000
1340,269,87
1340,270,22
1341,261,10000
1341,262,2
1341,263,10000
1341,264,10000
1341,265,16
1341,266,10000
1341,267,10000
1341,268,10000
1341,269,54
1341,270,51
1342,261,10000
1342,262,15
1342,263,10000
1342,264,10000
1342,265,58
1342,266,87
1342,267,10000
1342,268,10000
1342,269,85
1342,270,10000
1343,261,10000
1343,262,72
1343,263,10000
1343,264,46
1343,265,10000
1343,266,27
1343,267,10000
1343,268,1
1343,269,10000
1343,270,10000
1344,261,56
1344,262,39
1344,263,10000
1344,264,10000
1344,265,10000
1344,266,10000
1344,267,10000
1344,268,33
1344,269,10000
1344,270,10000
1345,261,10000
1345,262,10000
1345,263,26
1345,264,10000
1345,265,38
1345,266,27
1345,267,10000
1345,268,10000
1345,269,10000
1345,270,67
1346,261,10000
1346,262,52
1346,263,10000
1346,264,36
1346,265,28
1346,266,10000
1346,267,10000
1346,268,3
1346,269,10000
1346,270,70
1347,261,6
1347,262,85
1347,263,55
1347,264,10000
1347,265,23
1347,266,13
1347,267,10000
1347,268,10000
1347,269,34
1347,270,20
1348,261,10000
1348,262,10000
1348,263,67
1348,264,10000
1348,265,58
1348,266,11
1348,267,10000
1348,268,17
1348,269,10000
1348,270,10000
1349,261,64
1349,262,83
1349,263,10000
1349,264,10000
1349,265,10000
1349,266,10000
1349,267,10000
1349,268,10000
1349,269,10000
1349,270,10000
1350,261,10000
1350,262,100
1350,263,10000
1350,264,65
1350,265,10000
1350,266,10000
1350,267,76
1350,268,10000
1350,269,53
1350,270,97
Budget,640
