Configuration, ObservableConfiguration, Cost
251,126,10000,
251,127,10000,
251,128,10000,
251,129,71,
251,130,10000,
251,131,58,
251,132,26,
251,133,100,
251,134,10000,
251,135,34,
251,136,10000,
251,137,83,
251,138,20,
251,139,10000,
251,140,30,
251,141,10000,
251,142,10000,
251,143,34,
251,144,8,
251,145,10000,
251,146,10000,
251,147,10000,
251,148,10000,
251,149,10000,
251,150,10000,
252,126,84,
252,127,10000,
252,128,28,
252,129,10000,
252,130,10000,
252,131,71,
252,132,10000,
252,133,54,
252,134,74,
252,135,10000,
252,136,15,
252,137,10000,
252,138,78,
252,139,10000,
252,140,10000,
252,141,10000,
252,142,80,
252,143,10000,
252,144,10000,
252,145,10000,
252,146,10000,
252,147,95,
252,148,38,
252,149,10000,
252,150,98,
253,126,10000,
253,127,32,
253,128,4,
253,129,10000,
253,130,10000,
253,131,93,
253,132,10000,
253,133,30,
253,134,23,
253,135,81,
253,136,10000,
253,137,99,
253,138,10000,
253,139,79,
253,140,78,
253,141,10000,
253,142,69,
253,143,23,
253,144,10000,
253,145,1,
253,146,82,
253,147,10000,
253,148,10000,
253,149,10000,
253,150,32,
254,126,16,
254,127,31,
254,128,96,
254,129,10000,
254,130,10000,
254,131,10000,
254,132,10000,
254,133,10000,
254,134,28,
254,135,10000,
254,136,64,
254,137,10000,
254,138,10000,
254,139,56,
254,140,10000,
254,141,10000,
254,142,10000,
254,143,10,
254,144,37,
254,145,47,
254,146,10000,
254,147,21,
254,148,74,
254,149,10000,
254,150,84,
255,126,10000,
255,127,78,
255,128,10000,
255,129,10000,
255,130,13,
255,131,1,
255,132,19,
255,133,98,
255,134,10000,
255,135,10000,
255,136,10000,
255,137,10000,
255,138,10000,
255,139,10000,
255,140,10000,
255,141,10000,
255,142,10000,
255,143,55,
255,144,10000,
255,145,12,
255,146,95,
255,147,3,
255,148,10000,
255,149,10000,
255,150,10000,
256,126,87,
256,127,79,
256,128,10000,
256,129,11,
256,130,61,
256,131,80,
256,132,30,
256,133,10000,
256,134,10000,
256,135,77,
256,136,26,
256,137,10000,
256,138,34,
256,139,10000,
256,140,10000,
256,141,40,
256,142,59,
256,143,76,
256,144,73,
256,145,12,
256,146,10000,
256,147,10000,
256,148,76,
256,149,10000,
256,150,42,
257,126,54,
257,127,56,
257,128,100,
257,129,10000,
257,130,58,
257,131,10000,
257,132,10000,
257,133,90,
257,134,26,
257,135,26,
257,136,10000,
257,137,25,
257,138,10000,
257,139,4,
257,140,46,
257,141,10000,
257,142,10000,
257,143,78,
257,144,10000,
257,145,22,
257,146,95,
257,147,97,
257,148,10000,
257,149,96,
257,150,22,
258,126,62,
258,127,15,
258,128,72,
258,129,98,
258,130,10000,
258,131,10000,
258,132,29,
258,133,24,
258,134,55,
258,135,10000,
258,136,40,
258,137,10000,
258,138,10000,
258,139,5,
258,140,61,
258,141,10000,
258,142,14,
258,143,10000,
258,144,10000,
258,145,7,
258,146,10000,
258,147,59,
258,148,63,
258,149,10000,
258,150,10000,
259,126,10000,
259,127,74,
259,128,10000,
259,129,10000,
259,130,10000,
259,131,10000,
259,132,10000,
259,133,12,
259,134,10000,
259,135,10000,
259,136,10000,
259,137,10000,
259,138,10000,
259,139,87,
259,140,10000,
259,141,29,
259,142,10000,
259,143,10000,
259,144,69,
259,145,10000,
259,146,10000,
259,147,10000,
259,148,86,
259,149,68,
259,150,10,
260,126,41,
260,127,10000,
260,128,10000,
260,129,10000,
260,130,10000,
260,131,10000,
260,132,10000,
260,133,42,
260,134,40,
260,135,10000,
260,136,10000,
260,137,10000,
260,138,59,
260,139,10000,
260,140,75,
260,141,10000,
260,142,10000,
260,143,25,
260,144,10000,
260,145,89,
260,146,10000,
260,147,10000,
260,148,75,
260,149,90,
260,150,72,
261,126,10000,
261,127,82,
261,128,10000,
261,129,97,
261,130,10000,
261,131,10000,
261,132,10000,
261,133,10000,
261,134,10000,
261,135,10000,
261,136,10000,
261,137,10000,
261,138,10000,
261,139,10000,
261,140,41,
261,141,10000,
261,142,10000,
261,143,25,
261,144,13,
261,145,3,
261,146,10000,
261,147,10000,
261,148,10000,
261,149,99,
261,150,10000,
262,126,10000,
262,127,64,
262,128,83,
262,129,10000,
262,130,60,
262,131,10000,
262,132,10000,
262,133,74,
262,134,61,
262,135,35,
262,136,10000,
262,137,10000,
262,138,10000,
262,139,72,
262,140,10000,
262,141,10000,
262,142,10000,
262,143,36,
262,144,10000,
262,145,66,
262,146,10000,
262,147,10000,
262,148,10000,
262,149,10000,
262,150,10000,
263,126,75,
263,127,10000,
263,128,53,
263,129,10000,
263,130,10000,
263,131,55,
263,132,10000,
263,133,66,
263,134,10000,
263,135,16,
263,136,10000,
263,137,10000,
263,138,54,
263,139,10000,
263,140,10000,
263,141,71,
263,142,10000,
263,143,16,
263,144,10000,
263,145,68,
263,146,10000,
263,147,10000,
263,148,10000,
263,149,10000,
263,150,100,
264,126,91,
264,127,97,
264,128,55,
264,129,10000,
264,130,10000,
264,131,37,
264,132,10000,
264,133,64,
264,134,10000,
264,135,10000,
264,136,10000,
264,137,10000,
264,138,68,
264,139,10000,
264,140,10000,
264,141,10000,
264,142,75,
264,143,88,
264,144,10000,
264,145,6,
264,146,10000,
264,147,10000,
264,148,7,
264,149,82,
264,150,10000,
265,126,10000,
265,127,10000,
265,128,10000,
265,129,20,
265,130,10000,
265,131,73,
265,132,10000,
265,133,10000,
265,134,10000,
265,135,10000,
265,136,64,
265,137,83,
265,138,10000,
265,139,25,
265,140,67,
265,141,10000,
265,142,10000,
265,143,44,
265,144,10000,
265,145,96,
265,146,10000,
265,147,57,
265,148,10000,
265,149,29,
265,150,10000,
266,126,10000,
266,127,61,
266,128,23,
266,129,96,
266,130,10000,
266,131,31,
266,132,10000,
266,133,26,
266,134,10000,
266,135,10000,
266,136,94,
266,137,30,
266,138,42,
266,139,70,
266,140,10000,
266,141,17,
266,142,22,
266,143,53,
266,144,10000,
266,145,62,
266,146,10000,
266,147,10000,
266,148,10000,
266,149,40,
266,150,10000,
267,126,8,
267,127,10000,
267,128,16,
267,129,69,
267,130,10000,
267,131,10000,
267,132,78,
267,133,41,
267,134,10000,
267,135,10000,
267,136,10000,
267,137,46,
267,138,56,
267,139,10000,
267,140,50,
267,141,10000,
267,142,39,
267,143,14,
267,144,39,
267,145,10000,
267,146,41,
267,147,10000,
267,148,32,
267,149,10000,
267,150,10000,
268,126,10000,
268,127,100,
268,128,9,
268,129,10000,
268,130,73,
268,131,28,
268,132,13,
268,133,51,
268,134,26,
268,135,43,
268,136,10000,
268,137,10000,
268,138,10000,
268,139,9,
268,140,8,
268,141,10000,
268,142,66,
268,143,10000,
268,144,10000,
268,145,10000,
268,146,61,
268,147,10000,
268,148,77,
268,149,10000,
268,150,10000,
269,126,38,
269,127,2,
269,128,40,
269,129,66,
269,130,10000,
269,131,10000,
269,132,37,
269,133,10000,
269,134,10000,
269,135,11,
269,136,10000,
269,137,28,
269,138,10000,
269,139,62,
269,140,10000,
269,141,10000,
269,142,10000,
269,143,5,
269,144,10000,
269,145,99,
269,146,39,
269,147,10000,
269,148,10000,
269,149,10000,
269,150,46,
270,126,75,
270,127,10000,
270,128,10000,
270,129,39,
270,130,10000,
270,131,8,
270,132,68,
270,133,29,
270,134,74,
270,135,34,
270,136,30,
270,137,10000,
270,138,10000,
270,139,46,
270,140,10000,
270,141,100,
270,142,66,
270,143,10000,
270,144,10000,
270,145,44,
270,146,10000,
270,147,10000,
270,148,10000,
270,149,97,
270,150,80,
271,126,10000,
271,127,10000,
271,128,29,
271,129,80,
271,130,5,
271,131,10000,
271,132,96,
271,133,10000,
271,134,10000,
271,135,56,
271,136,44,
271,137,55,
271,138,47,
271,139,10000,
271,140,43,
271,141,10000,
271,142,10000,
271,143,82,
271,144,18,
271,145,62,
271,146,10000,
271,147,21,
271,148,10000,
271,149,60,
271,150,10000,
272,126,10000,
272,127,10000,
272,128,39,
272,129,16,
272,130,34,
272,131,77,
272,132,52,
272,133,59,
272,134,22,
272,135,10000,
272,136,97,
272,137,34,
272,138,85,
272,139,26,
272,140,10000,
272,141,10000,
272,142,10000,
272,143,10000,
272,144,57,
272,145,10000,
272,146,10000,
272,147,10000,
272,148,10000,
272,149,10000,
272,150,10000,
273,126,67,
273,127,51,
273,128,86,
273,129,19,
273,130,55,
273,131,10000,
273,132,14,
273,133,10000,
273,134,74,
273,135,13,
273,136,10000,
273,137,10000,
273,138,40,
273,139,71,
273,140,10000,
273,141,59,
273,142,10000,
273,143,10000,
273,144,80,
273,145,1,
273,146,33,
273,147,10000,
273,148,37,
273,149,25,
273,150,10000,
274,126,60,
274,127,10000,
274,128,10000,
274,129,71,
274,130,10000,
274,131,14,
274,132,10000,
274,133,63,
274,134,18,
274,135,10000,
274,136,10000,
274,137,23,
274,138,38,
274,139,10000,
274,140,81,
274,141,10000,
274,142,10000,
274,143,80,
274,144,10000,
274,145,91,
274,146,10000,
274,147,10000,
274,148,10000,
274,149,43,
274,150,100,
275,126,57,
275,127,10000,
275,128,10000,
275,129,10000,
275,130,99,
275,131,57,
275,132,16,
275,133,35,
275,134,10000,
275,135,3,
275,136,78,
275,137,84,
275,138,1,
275,139,43,
275,140,10000,
275,141,35,
275,142,96,
275,143,58,
275,144,10000,
275,145,10000,
275,146,61,
275,147,10000,
275,148,10000,
275,149,98,
275,150,59,
276,126,10000,
276,127,12,
276,128,8,
276,129,92,
276,130,6,
276,131,10000,
276,132,10000,
276,133,10000,
276,134,35,
276,135,10000,
276,136,39,
276,137,41,
276,138,20,
276,139,84,
276,140,28,
276,141,96,
276,142,48,
276,143,35,
276,144,10000,
276,145,10000,
276,146,10000,
276,147,10000,
276,148,19,
276,149,1,
276,150,10000,
277,126,10000,
277,127,9,
277,128,10000,
277,129,60,
277,130,79,
277,131,10000,
277,132,10000,
277,133,37,
277,134,52,
277,135,3,
277,136,29,
277,137,10000,
277,138,10000,
277,139,10000,
277,140,24,
277,141,85,
277,142,10000,
277,143,60,
277,144,80,
277,145,22,
277,146,10000,
277,147,10000,
277,148,68,
277,149,30,
277,150,45,
278,126,100,
278,127,10000,
278,128,10000,
278,129,10000,
278,130,95,
278,131,10000,
278,132,76,
278,133,10000,
278,134,94,
278,135,24,
278,136,6,
278,137,10000,
278,138,84,
278,139,10000,
278,140,34,
278,141,56,
278,142,10000,
278,143,10000,
278,144,10000,
278,145,94,
278,146,10000,
278,147,32,
278,148,10000,
278,149,10000,
278,150,90,
279,126,10000,
279,127,10000,
279,128,10000,
279,129,10000,
279,130,10000,
279,131,23,
279,132,74,
279,133,40,
279,134,87,
279,135,10000,
279,136,29,
279,137,10000,
279,138,10000,
279,139,8,
279,140,2,
279,141,10000,
279,142,41,
279,143,16,
279,144,37,
279,145,43,
279,146,7,
279,147,53,
279,148,10000,
279,149,10000,
279,150,33,
280,126,34,
280,127,10000,
280,128,10000,
280,129,16,
280,130,58,
280,131,38,
280,132,10000,
280,133,93,
280,134,94,
280,135,10000,
280,136,10000,
280,137,10000,
280,138,10000,
280,139,35,
280,140,11,
280,141,10000,
280,142,29,
280,143,85,
280,144,10000,
280,145,10000,
280,146,10000,
280,147,55,
