System Num, Configuration
1051,2196,
1052,2105,
1053,2133,
1054,2147,
1055,2152,
1056,2175,
1057,2151,
1058,2104,
1059,2154,
1060,2134,
1061,2142,
1062,2132,
1063,2129,
1064,2147,
1065,2133,
1066,2160,
1067,2125,
1068,2152,
1069,2121,
1070,2122,
1071,2149,
1072,2191,
1073,2110,
1074,2144,
1075,2139,
1076,2144,
1077,2126,
1078,2109,
1079,2191,
1080,2138,
1081,2140,
1082,2186,
1083,2179,
1084,2101,
1085,2110,
1086,2167,
1087,2118,
1088,2171,
1089,2182,
1090,2111,
1091,2128,
1092,2152,
1093,2155,
1094,2170,
1095,2172,
1096,2157,
1097,2196,
1098,2167,
1099,2125,
1100,2170,
